Kingdom of Cambodia,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
"Table 1: Schools, Classes, Students and Staff",,,,,,,,,,,,,,
Particulars,Number of,Disadv.,Number of,Classes,Enrollment,,Repeaters,,Teaching Staff,,Non-Teaching Staff,,Total Staff,
,Schools,Schools,Classes,in Pagoda,Total,Girl,Total,Girl,Total,Female,Total,Female,Total,Female
Whole Kingdom,13300,248,89897,552,3189172,1577271,148021,52937,93703,48810,19066,5531,112769,54341
"By Area of Location:
-    Urban Area",1422,20,15141,84,594914,292541,20820,7204,23450,13567,3514,1429,26964,14996
-    Rural Area,11878,228,74756,468,2594258,1284730,127201,45733,70253,35243,15552,4102,85805,39345
"By Type of School & Edn. Level :
-    Pre-School",4301,184,7122,75,217509,108080,0,0,5335,5089,224,212,5559,5301
-    Primary School,7228,55,62208,350,2040257,978800,126831,45952,45836,26120,11975,3533,57811,29653
-    College (Grade 7-9),1246,9,7350,98,327415,172099,6298,1820,14690,6495,2828,652,17518,7147
-    Lycee (Grade 10-12),32,0,456,0,20126,10462,188,63,943,289,114,29,1057,318
-    Lycee (Grade 7-12),493,0,12761,29,583865,307830,14704,5102,26899,10817,3925,1105,30824,11922
-    Lower Secondary Level  (Grade 7-9),1739,9,13388,98,610261,318897,15132,4555,28758,13116,4880,1229,33638,14345
-    Upper Secondary Level  (Grade 10-12),525,0,7179,29,321145,171494,6058,2430,13774,4485,1987,557,15761,5042
"Characteristics of Primary Schools:
-    Cluster - core school",1263,5,16678,79,641435,308059,35922,12388,14109,8989,3911,1260,18020,10249
-    Cluster - satellite school,5965,50,45530,271,1398822,670741,90909,33564,31727,17131,8064,2273,39791,19404
-    School not in cluster,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-    Annex school,646,16,4368,48,125804,60270,7779,2813,2967,1597,727,254,3694,1851
-    School in Pagoda,994,2,8678,0,293820,140116,18156,6408,6728,3690,1977,568,8705,4258
Disadvantaged school (All Level),248,248,616,0,16407,8276,371,151,406,254,33,11,439,265
