Province,Year,Grade_1_Promotion,Grade_1_Repetition,Grade_1_Dropout,Grade_2_Promotion,Grade_2_Repetition,Grade_2_Dropout,Grade_3_Promotion,Grade_3_Repetition,Grade_3_Dropout,Grade_4_Promotion,Grade_4_Repetition,Grade_4_Dropout,Grade_5_Promotion,Grade_5_Repetition,Grade_5_Dropout,Grade_6_Promotion,Grade_6_Repetition,Grade_6_Dropout,Grade_7_Promotion,Grade_7_Repetition,Grade_7_Dropout,Grade_8_Promotion,Grade_8_Repetition,Grade_8_Dropout,Grade_9_Promotion,Grade_9_Repetition,Grade_9_Dropout,Grade_10_Promotion,Grade_10_Repetition,Grade_10_Dropout,Grade_11_Promotion,Grade_11_Repetition,Grade_11_Dropout,Grade_12_Promotion,Grade_12_Repetition,Grade_12_Dropout
Banteay Meanchey,2018,90.7,6.0,3.3,91.6,4.7,3.7,94.7,3.4,2.0,91.0,2.5,6.4,95.0,1.6,3.4,92.3,1.3,6.4,80.4,2.2,17.3,84.4,1.6,14.0,78.7,2.8,18.4,85.6,0.6,13.8,89.7,0.7,9.6,54.9,5.5,39.7
Battambang,2018,83.8,11.7,4.5,88.5,8.0,3.6,88.6,5.7,5.7,90.8,4.0,5.2,91.0,2.7,6.3,89.1,2.3,8.6,76.8,3.3,19.9,81.3,2.2,16.5,78.7,4.3,17.0,82.4,1.2,16.4,87.5,1.2,11.3,66.1,4.6,29.3
Kampong Cham,2018,81.6,14.2,4.2,84.4,10.9,4.7,86.5,8.9,4.6,88.0,7.4,4.6,89.8,5.8,4.4,91.2,3.9,4.9,80.1,3.3,16.6,82.1,2.6,15.2,79.5,3.3,17.2,80.0,2.0,18.1,89.9,0.6,9.5,56.6,5.3,38.1
Kampong Chhnang,2018,88.0,10.6,1.4,90.3,7.6,2.0,91.5,6.3,2.2,92.5,4.5,3.0,94.5,2.8,2.7,94.0,2.0,4.0,83.5,2.4,14.1,83.3,1.5,15.1,82.0,2.3,15.7,81.9,0.8,17.3,89.2,0.6,10.2,60.2,5.2,34.6
Kampong Speu,2018,89.3,8.7,2.0,92.5,6.3,1.2,92.7,4.5,2.8,93.2,3.3,3.5,92.7,2.4,4.9,93.4,3.1,3.5,79.5,1.3,19.2,80.6,0.7,18.6,75.1,2.2,22.7,79.4,0.3,20.3,89.4,0.2,10.4,84.4,1.9,13.7
Kampong Thom,2018,82.2,13.2,4.6,86.9,9.3,3.7,86.7,7.4,5.9,89.0,4.9,6.1,89.9,3.7,6.4,92.2,2.6,5.3,78.8,3.5,17.6,85.6,1.4,13.0,83.9,3.3,12.9,86.6,0.6,12.8,93.3,0.7,6.0,73.8,2.2,23.9
Kampot,2018,89.1,8.6,2.2,92.7,5.0,2.3,91.3,4.3,4.4,94.2,2.8,3.0,92.2,2.1,5.7,92.5,1.7,5.7,80.4,2.2,17.3,81.5,1.4,17.2,79.4,3.5,17.1,81.0,1.1,17.8,90.3,0.7,9.0,77.4,2.1,20.5
Kandal,2018,85.8,13.1,1.0,88.3,9.9,1.7,88.7,8.1,3.3,90.6,6.5,2.9,90.6,5.0,4.4,92.8,3.6,3.5,81.2,3.3,15.4,84.4,1.9,13.7,81.9,2.6,15.5,86.0,1.1,12.9,92.8,0.8,6.4,66.9,5.7,27.4
Kep,2018,90.6,9.8,,98.0,5.8,,93.8,5.3,0.9,89.2,4.3,6.5,89.8,2.3,7.8,86.0,3.1,10.8,73.5,4.3,22.2,78.5,0.8,20.6,78.6,3.4,17.9,88.9,1.7,9.5,91.2,0.3,8.5,94.5,0.8,4.7
Koh Kong,2018,84.8,7.5,7.7,86.2,5.3,8.6,89.8,3.7,6.4,90.0,1.8,8.1,98.7,1.3,0.0,92.4,0.8,6.7,84.6,0.9,14.5,87.3,0.9,11.8,76.0,3.9,20.2,85.1,0.5,14.4,95.4,0.1,4.4,27.4,2.1,70.5
Kratie,2018,81.3,13.3,5.4,84.5,9.6,5.9,84.6,7.5,7.9,85.3,6.1,8.6,85.8,4.6,9.7,84.7,3.0,12.3,75.3,2.4,22.3,79.8,0.9,19.3,76.2,2.6,21.2,85.4,0.9,13.7,90.9,0.6,8.5,49.7,4.6,45.6
Mondul Kiri,2018,84.9,8.0,7.1,89.3,6.0,4.7,87.6,4.9,7.5,85.8,4.0,10.2,87.0,1.4,11.6,89.8,1.5,8.6,79.3,3.1,17.6,84.8,2.8,12.3,84.0,3.7,12.3,86.2,1.1,12.7,94.9,0.9,4.3,92.9,0.6,6.4
Otdar Meanchey,2018,80.1,14.2,5.8,85.3,10.1,4.7,85.8,8.1,6.1,85.3,5.3,9.3,89.3,4.2,6.5,82.9,2.2,14.9,79.0,3.4,17.5,84.1,1.7,14.2,74.8,5.5,19.7,84.3,2.3,13.4,94.4,0.2,5.5,87.8,0.9,11.3
Pailin,2018,86.0,9.9,4.1,86.4,7.6,6.0,84.8,8.0,7.2,89.9,5.0,5.1,89.3,3.3,7.4,92.9,0.8,6.4,75.2,7.3,17.5,85.3,3.4,11.3,80.1,2.2,17.7,88.4,1.8,9.8,92.5,1.7,5.8,53.0,10.3,36.7
Phnom Penh,2018,90.8,5.6,3.6,93.2,4.0,2.8,94.0,2.7,3.3,96.1,2.0,1.9,95.0,1.8,3.2,94.2,0.8,5.0,85.1,3.2,11.7,92.8,2.3,4.9,86.6,3.3,10.1,90.8,1.1,8.0,,1.1,,49.0,6.9,44.1
